Episode 212/10000, Total Reward: 16, Epsilon: 0.9790221025264537
edge already selected: 19
Episode 213/10000, Total Reward: -10000000010, Epsilon: 0.9789242003162011
Episode 214/10000, Total Reward: 16, Epsilon: 0.9788263078961694
Episode 215/10000, Total Reward: 16, Epsilon: 0.9787284252653798
Episode 216/10000, Total Reward: 16, Epsilon: 0.9786305524228534
edge already selected: 19
Episode 217/10000, Total Reward: -10000000074, Epsilon: 0.9785326893676111
Episode 218/10000, Total Reward: 16, Epsilon: 0.9784348360986743
Episode 219/10000, Total Reward: -42, Epsilon: 0.9783369926150645
Episode 220/10000, Total Reward: -74, Epsilon: 0.9782391589158029
Episode 221/10000, Total Reward: -74, Epsilon: 0.9781413349999114
edge already selected: 19
Episode 222/10000, Total Reward: -9999999952, Epsilon: 0.9780435208664114
edge already selected: 19
Episode 223/10000, Total Reward: -9999999920, Epsilon: 0.9779457165143248
Episode 224/10000, Total Reward: -74, Epsilon: 0.9778479219426734
Episode 225/10000, Total Reward: 48, Epsilon: 0.9777501371504792
Episode 226/10000, Total Reward: 80, Epsilon: 0.9776523621367642
Episode 227/10000, Total Reward: -74, Epsilon: 0.9775545969005506
Episode 228/10000, Total Reward: 16, Epsilon: 0.9774568414408605
Episode 229/10000, Total Reward: 16, Epsilon: 0.9773590957567164
Episode 230/10000, Total Reward: -74, Epsilon: 0.9772613598471408
Episode 231/10000, Total Reward: -42, Epsilon: 0.9771636337111561
Episode 232/10000, Total Reward: -10, Epsilon: 0.977065917347785
Episode 233/10000, Total Reward: -10, Epsilon: 0.9769682107560502
Episode 234/10000, Total Reward: 16, Epsilon: 0.9768705139349746
edge already selected: 19
Episode 235/10000, Total Reward: -9999999984, Epsilon: 0.9767728268835811
Episode 236/10000, Total Reward: -10, Epsilon: 0.9766751496008927
Episode 237/10000, Total Reward: -42, Epsilon: 0.9765774820859326
Episode 238/10000, Total Reward: 48, Epsilon: 0.9764798243377241
edge already selected: 19
Episode 239/10000, Total Reward: -10000000042, Epsilon: 0.9763821763552903
Episode 240/10000, Total Reward: 48, Epsilon: 0.9762845381376548
Episode 241/10000, Total Reward: -42, Epsilon: 0.976186909683841
